日期,收盤價
2020-11-23,37.45
2020-11-24,37.2
2020-11-25,40.9
2020-11-26,40.65
2020-11-27,43.0
2020-11-30,43.7
2020-12-01,41.1
2020-12-02,40.0
2020-12-03,39.5
2020-12-04,38.0
2020-12-07,38.25
2020-12-08,40.6
2020-12-09,41.4
2020-12-10,41.4
2020-12-11,38.95
2020-12-14,40.75
2020-12-15,40.0
2020-12-16,41.0
2020-12-17,42.35
2020-12-18,43.2
2020-12-21,47.5
2020-12-22,43.15
2020-12-23,45.45
2020-12-24,45.25
2020-12-25,48.0
2020-12-28,52.8
2020-12-29,49.35
2020-12-30,50.1
2020-12-31,52.9
2021-01-04,57.1
2021-01-05,54.6
2021-01-06,50.3
2021-01-07,47.35
2021-01-08,48.5
2021-01-11,50.4
2021-01-12,49.05
2021-01-13,48.0
2021-01-14,48.05
2021-01-15,43.25
2021-01-18,45.1
2021-01-19,43.2
2021-01-20,42.1
2021-01-21,42.7
2021-01-22,44.8
2021-01-25,45.65
2021-01-26,45.6
2021-01-27,44.55
2021-01-28,44.75
2021-01-29,42.8
2021-02-01,41.35
2021-02-02,43.5
2021-02-03,42.25
2021-02-04,43.5
2021-02-05,42.2
2021-02-17,43.9
2021-02-18,45.25
2021-02-19,44.5
2021-02-22,46.75
2021-02-23,46.7
2021-02-24,46.0
2021-02-25,47.3
2021-02-26,47.95
2021-03-02,45.5
2021-03-03,47.3
2021-03-04,46.05
2021-03-05,45.85
2021-03-08,45.4
2021-03-09,47.5
2021-03-10,47.0
2021-03-11,47.25
2021-03-12,47.4
2021-03-15,48.7
2021-03-16,48.65
2021-03-17,49.0
2021-03-18,49.95
2021-03-19,49.55
2021-03-22,54.5
2021-03-23,51.7
2021-03-24,52.0
2021-03-25,49.9
2021-03-26,52.9
2021-03-29,55.4
2021-03-30,54.6
2021-03-31,55.1
2021-04-01,55.9
2021-04-06,57.4
2021-04-07,58.7
2021-04-08,58.9
2021-04-09,58.2
2021-04-12,64.0
2021-04-13,64.3
2021-04-14,65.3
2021-04-15,66.7
2021-04-16,73.3
2021-04-19,80.6
2021-04-20,81.5
2021-04-21,89.6
2021-04-22,85.8
2021-04-23,82.0
2021-04-26,90.2
2021-04-27,91.2
2021-04-28,92.5
2021-04-29,94.7
2021-05-03,101.5
2021-05-04,91.4
2021-05-05,92.5
2021-05-06,89.9
2021-05-07,92.3
2021-05-10,101.5
2021-05-11,98.7
2021-05-12,88.9
2021-05-13,80.1
2021-05-14,81.6
2021-05-17,78.2
2021-05-18,86.0
2021-05-19,94.6
2021-05-20,104.0
2021-05-21,114.0
2021-05-24,125.0
2021-05-25,116.5
2021-05-26,128.0
2021-05-27,140.5
2021-05-28,154.5
2021-05-31,145.0
2021-06-01,159.5
2021-06-02,160.0
2021-06-03,161.0
2021-06-04,155.5
2021-06-07,153.0
2021-06-08,165.0
2021-06-09,160.0
2021-06-10,159.0
2021-06-11,174.5
2021-06-15,191.5
2021-06-16,205.5
2021-06-17,206.0
2021-06-18,226.5
2021-06-21,249.0
2021-06-22,251.0
2021-06-23,226.0
2021-06-24,248.5
2021-06-25,273.0
2021-06-28,300.0
2021-06-29,292.0
2021-06-30,321.0
2021-07-01,336.0
2021-07-02,326.5
2021-07-05,302.0
2021-07-06,296.0
2021-07-07,276.5
2021-07-08,304.0
2021-07-09,275.0
2021-07-12,287.0
2021-07-13,258.5
2021-07-14,253.5
2021-07-15,278.5
2021-07-16,286.0
2021-07-19,286.0
2021-07-20,260.5
2021-07-21,238.5
2021-07-22,240.0
2021-07-23,240.0
2021-07-26,216.5
2021-07-27,205.0
2021-07-28,225.5
2021-07-29,248.0
2021-07-30,223.5
2021-08-02,232.0
2021-08-03,229.0
2021-08-04,233.0
2021-08-05,221.0
2021-08-06,231.0
2021-08-09,229.0
2021-08-10,225.0
2021-08-11,217.0
2021-08-12,230.0
2021-08-13,215.0
2021-08-16,215.0
2021-08-17,205.5
2021-08-18,226.0
2021-08-19,213.0
