日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/11/30,"58,170,129","785,704,130",13.65,13.70,13.25,13.25,-0.35,"13,269"
109/12/01,"66,054,680","853,595,073",13.30,13.35,12.60,13.05,-0.20,"14,870"
109/12/02,"45,337,669","587,593,939",13.10,13.25,12.65,12.90,-0.15,"9,736"
109/12/03,"35,195,883","453,491,581",12.90,13.15,12.70,12.75,-0.15,"8,726"
109/12/04,"28,201,469","359,421,061",12.85,12.85,12.65,12.85,+0.10,"6,356"
109/12/07,"34,846,938","449,318,808",12.95,13.05,12.70,12.85, 0.00,"6,726"
109/12/08,"137,177,362","1,886,209,327",13.15,14.05,13.10,14.05,+1.20,"29,413"
109/12/09,"133,020,551","1,902,619,648",14.05,14.90,13.80,14.40,+0.35,"31,050"
109/12/10,"89,946,504","1,298,844,861",14.45,14.85,14.15,14.35,-0.05,"20,767"
109/12/11,"100,878,749","1,406,310,004",14.30,14.35,13.50,13.70,-0.65,"22,530"
109/12/14,"126,195,343","1,831,803,858",13.85,15.05,13.80,15.05,+1.35,"21,928"
109/12/15,"236,049,036","3,700,946,406",15.35,16.50,15.15,15.55,+0.50,"51,354"
109/12/16,"126,364,128","1,979,070,760",15.65,16.20,15.15,15.85,+0.30,"27,357"
109/12/17,"79,684,685","1,250,952,712",15.80,16.05,15.45,15.70,-0.15,"16,675"
109/12/18,"206,360,797","3,455,606,207",16.00,17.25,15.90,17.25,+1.55,"40,990"
109/12/21,"223,996,421","4,091,639,245",17.65,18.95,17.50,18.95,+1.70,"44,924"
109/12/22,"291,542,811","5,579,380,809",19.20,20.00,17.80,18.55,-0.40,"88,762"
109/12/23,"224,886,565","4,279,494,338",18.85,20.40,17.50,20.40,+1.85,"53,845"
109/12/24,"218,649,885","4,461,219,529",20.35,21.50,19.70,21.00,+0.60,"57,527"
109/12/25,"180,477,681","4,152,899,120",23.10,23.10,22.35,23.10,+2.10,"43,045"
109/12/28,"83,468,746","2,076,502,525",24.30,25.40,24.30,25.40,+2.30,"17,643"
109/12/29,"316,446,204","8,696,126,318",27.90,27.90,25.40,27.90,+2.50,"101,037"
109/12/30,"111,570,443","2,999,679,444",27.30,28.05,25.65,27.50,-0.40,"48,664"
109/12/31,"100,773,024","2,845,517,653",27.50,29.25,27.25,29.25,+1.75,"39,249"
110/01/04,"102,044,301","3,217,518,126",30.70,32.15,30.70,32.15,+2.90,"40,766"
110/01/05,"49,151,441","1,525,683,363",31.60,32.00,30.00,32.00,-0.15,"14,522"
110/01/06,"64,941,633","1,960,143,042",32.00,32.00,28.80,28.80,-3.20,"18,020"
110/01/07,"49,450,852","1,294,854,061",28.60,28.60,25.95,25.95,-2.85,"11,365"
110/01/08,"79,753,945","2,099,363,918",25.65,27.40,25.65,27.30,+1.35,"19,004"
110/01/11,"47,981,188","1,355,360,545",28.00,28.55,28.00,28.55,+1.25,"10,833"
110/01/12,"63,035,352","1,626,626,901",26.10,26.80,25.70,25.70,-2.85,"13,360"
