日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,"1,111,962","20,644,298",18.45,18.65,18.45,18.50, 0.00,634
109/01/03,"1,467,239","27,264,069",18.65,18.75,18.50,18.60,+0.10,654
109/01/06,"1,607,750","29,642,485",18.60,18.65,18.30,18.35,-0.25,647
109/01/07,"1,356,967","24,726,747",18.35,18.40,18.10,18.25,-0.10,681
109/01/08,"2,793,210","50,322,600",18.10,18.20,17.85,18.00,-0.25,"1,039"
109/01/09,"1,396,537","25,493,172",18.15,18.45,18.05,18.45,+0.45,582
109/01/10,"516,904","9,488,490",18.45,18.45,18.30,18.40,-0.05,322
109/01/13,"778,548","14,345,554",18.40,18.55,18.35,18.40, 0.00,310
109/01/14,"877,323","16,189,707",18.40,18.50,18.40,18.40, 0.00,398
109/01/15,"1,069,060","19,549,145",18.40,18.45,18.20,18.30,-0.10,565
109/01/16,"985,971","17,946,972",18.45,18.45,18.10,18.25,-0.05,526
109/01/17,"744,718","13,525,594",18.20,18.25,18.10,18.20,-0.05,412
109/01/20,"1,194,260","21,686,567",18.30,18.30,18.10,18.15,-0.05,399
109/01/30,"4,208,042","71,746,954",17.45,17.50,16.75,16.80,-1.35,"1,583"
109/01/31,"2,390,924","40,679,308",16.85,17.20,16.80,17.00,+0.20,746
109/02/03,"2,778,382","46,469,394",16.80,17.05,16.55,17.05,+0.05,918
109/02/04,"2,607,923","44,165,991",17.05,17.05,16.80,16.95,-0.10,971
109/02/05,"1,332,227","22,748,109",17.00,17.20,16.95,17.05,+0.10,487
109/02/06,"1,322,314","22,805,930",17.15,17.45,17.10,17.30,+0.25,459
109/02/07,"1,435,352","24,607,499",17.25,17.25,17.05,17.10,-0.20,448
109/02/10,"1,907,782","32,365,001",17.00,17.10,16.85,16.90,-0.20,562
109/02/11,"919,819","15,554,299",16.90,17.00,16.80,16.95,+0.05,380
109/02/12,"1,119,886","19,056,505",16.90,17.10,16.90,17.05,+0.10,459
109/02/13,"1,987,841","33,994,769",17.05,17.20,17.00,17.15,+0.10,704
109/02/14,"1,236,220","21,252,872",17.15,17.25,17.15,17.15, 0.00,354
109/02/17,"1,766,250","30,470,673",17.15,17.35,17.15,17.30,+0.15,857
109/02/18,"1,410,800","24,621,738",17.25,17.60,17.20,17.55,+0.25,530
109/02/19,"1,891,455","33,290,216",17.55,17.75,17.45,17.50,-0.05,824
109/02/20,"1,097,366","19,295,690",17.50,17.65,17.50,17.60,+0.10,388
109/02/21,"1,282,714","22,554,929",17.60,17.70,17.50,17.55,-0.05,470
109/02/24,"1,487,480","25,796,351",17.30,17.45,17.20,17.25,-0.30,453
109/02/25,"1,450,295","25,002,144",17.00,17.55,17.00,17.40,+0.15,548
109/02/26,"681,857","11,917,896",17.40,17.55,17.25,17.50,+0.10,254
109/02/27,"1,222,356","21,292,290",17.60,17.60,17.30,17.35,-0.15,650
109/03/02,"1,512,120","26,000,490",17.00,17.35,17.00,17.15,-0.20,857
109/03/03,"560,026","9,662,646",17.20,17.30,17.20,17.25,+0.10,299
109/03/04,"844,884","14,440,808",17.00,17.20,17.00,17.20,-0.05,383
109/03/05,"877,993","15,091,474",17.20,17.40,17.10,17.15,-0.05,557
109/03/06,"1,701,937","28,804,717",17.20,17.20,16.80,16.90,-0.25,921
109/03/09,"2,064,948","34,322,216",16.95,17.00,16.50,16.50,-0.40,"1,136"
109/03/10,"1,858,503","30,521,099",16.40,16.75,16.20,16.65,+0.15,714
109/03/11,"1,829,090","30,238,411",16.75,16.80,16.30,16.50,-0.15,938
109/03/12,"2,605,854","41,323,640",16.30,16.35,15.70,15.70,-0.80,"1,096"
109/03/13,"4,052,743","59,556,411",15.00,15.20,14.50,15.10,-0.60,"1,235"
109/03/16,"2,545,075","37,146,225",15.15,15.15,14.30,14.30,-0.80,"1,057"
109/03/17,"3,494,190","47,281,610",13.80,14.15,13.30,13.40,-0.90,"1,483"
109/03/18,"4,432,155","58,871,363",13.60,13.65,13.00,13.15,-0.25,"1,759"
109/03/19,"8,606,399","104,310,981",12.80,12.90,11.85,11.90,-1.25,"2,732"
109/03/20,"5,464,938","67,519,911",12.50,12.65,12.10,12.55,+0.65,"1,646"
109/03/23,"3,667,105","44,451,309",11.85,12.45,11.85,12.25,-0.30,691
109/03/24,"3,354,825","42,136,421",12.55,12.70,12.40,12.60,+0.35,933
109/03/25,"3,455,803","46,274,426",13.00,13.65,13.00,13.25,+0.65,"1,208"
109/03/26,"2,996,594","40,216,973",13.55,13.75,13.15,13.60,+0.35,936
109/03/27,"3,176,523","44,440,994",14.20,14.25,13.80,13.90,+0.30,"1,078"
109/03/30,"2,465,924","33,725,838",13.85,13.90,13.50,13.85,-0.05,886
109/03/31,"2,500,500","34,574,172",14.05,14.10,13.65,13.75,-0.10,740
109/04/01,"3,644,108","51,331,215",13.90,14.40,13.80,14.35,+0.60,"1,427"
109/04/06,"1,767,456","25,157,940",14.35,14.35,14.10,14.30,-0.05,653
109/04/07,"2,922,518","42,689,280",14.55,14.80,14.50,14.50,+0.20,"1,011"
109/04/08,"1,972,892","29,166,196",14.50,14.95,14.50,14.95,+0.45,837
109/04/09,"2,737,420","41,326,284",15.00,15.20,14.95,15.10,+0.15,988
109/04/10,"1,679,001","25,433,913",15.10,15.30,15.05,15.30,+0.20,597
109/04/13,"2,256,020","34,171,203",15.30,15.40,14.95,15.05,-0.25,800
109/04/14,"1,258,680","19,253,850",15.05,15.45,15.05,15.45,+0.40,494
109/04/15,"4,541,652","72,697,010",15.60,16.35,15.60,16.10,+0.65,"1,434"
109/04/16,"1,969,570","31,227,295",15.90,15.95,15.75,15.95,-0.15,676
109/04/17,"2,827,358","45,699,927",16.15,16.40,15.90,16.15,+0.20,906
109/04/20,"1,061,136","17,061,595",16.15,16.20,16.00,16.10,-0.05,383
109/04/21,"4,415,034","71,592,048",16.00,16.70,15.85,15.95,-0.15,"1,710"
109/04/22,"1,034,665","16,255,204",15.90,15.90,15.55,15.80,-0.15,494
109/04/23,"1,024,080","16,301,287",15.85,16.05,15.80,16.00,+0.20,350
109/04/24,"661,400","10,508,837",15.95,16.00,15.80,15.95,-0.05,282
109/04/27,"1,906,700","31,059,049",16.00,16.40,16.00,16.40,+0.45,687
109/04/28,"2,072,122","34,040,325",16.50,16.60,16.35,16.40, 0.00,579
109/04/29,"4,293,051","71,959,606",16.50,16.90,16.50,16.70,+0.30,"1,195"
109/04/30,"2,882,701","48,778,107",16.95,17.05,16.70,16.90,+0.20,"1,040"
109/05/04,"2,153,512","35,657,571",16.80,16.80,16.45,16.55,-0.35,733
109/05/05,"1,369,817","22,557,839",16.55,16.60,16.35,16.40,-0.15,619
109/05/06,"1,003,300","16,526,078",16.45,16.55,16.40,16.45,+0.05,438
109/05/07,"1,125,979","18,747,146",16.60,16.70,16.55,16.70,+0.25,450
109/05/08,"1,042,590","17,502,558",16.80,16.95,16.70,16.75,+0.05,358
109/05/11,"1,253,340","21,056,124",16.80,16.90,16.70,16.85,+0.10,401
109/05/12,"2,246,230","37,144,357",16.80,16.80,16.35,16.40,-0.45,936
109/05/13,"3,108,977","49,718,327",16.10,16.15,15.90,15.95,-0.45,990
109/05/14,"2,083,606","32,737,035",15.85,15.90,15.55,15.60,-0.35,804
109/05/15,"1,397,350","21,748,728",15.65,15.80,15.45,15.55,-0.05,484
109/05/18,"901,610","14,213,336",15.55,15.85,15.55,15.75,+0.20,373
109/05/19,"1,094,393","17,544,994",15.95,16.15,15.95,16.00,+0.25,511
109/05/20,"1,100,241","17,716,027",16.00,16.20,16.00,16.05,+0.05,409
109/05/21,"1,000,728","16,291,843",16.25,16.35,16.20,16.25,+0.20,343
109/05/22,"1,048,500","16,877,175",16.25,16.30,15.95,15.95,-0.30,456
109/05/25,"573,321","9,195,648",16.00,16.15,15.95,16.10,+0.15,230
109/05/26,"966,812","15,682,673",16.05,16.30,16.05,16.20,+0.10,596
109/05/27,"1,697,947","27,861,681",16.40,16.55,16.20,16.35,+0.15,789
109/05/28,"2,390,148","38,844,168",16.35,16.50,15.95,16.05,-0.30,860
109/05/29,"554,806","8,998,914",16.10,16.30,16.00,16.30,+0.25,253
109/06/01,"685,854","11,194,465",16.30,16.40,16.20,16.30, 0.00,319
109/06/02,"1,137,951","18,525,552",16.35,16.40,16.20,16.20,-0.10,408
109/06/03,"1,920,797","31,696,449",16.40,16.60,16.30,16.55,+0.35,935
109/06/04,"825,365","13,684,736",16.60,16.70,16.50,16.55, 0.00,433
109/06/05,"1,729,022","29,011,464",16.55,16.85,16.55,16.70,+0.15,705
109/06/08,"2,055,774","34,950,720",16.85,17.10,16.80,17.05,+0.35,822
109/06/09,"1,395,164","23,833,141",17.15,17.20,17.00,17.00,-0.05,448
109/06/10,"1,342,393","22,787,939",17.10,17.10,16.90,17.00, 0.00,414
109/06/11,"1,682,102","28,283,858",16.90,16.95,16.65,16.65,-0.35,902
109/06/12,"1,117,469","18,200,890",16.10,16.40,16.10,16.40,-0.25,381
109/06/15,"1,097,729","17,971,807",16.40,16.55,16.30,16.30,-0.10,344
109/06/16,"1,182,962","19,632,669",16.50,16.75,16.35,16.70,+0.40,396
109/06/17,"1,050,741","17,388,888",16.70,16.70,16.45,16.45,-0.25,570
109/06/18,"782,850","12,936,079",16.45,16.65,16.45,16.50,+0.05,371
109/06/19,"1,909,639","31,319,013",16.50,16.60,16.25,16.25,-0.25,720
109/06/22,"934,963","15,350,290",16.40,16.60,16.30,16.35,+0.10,381
109/06/23,"2,264,966","37,556,937",16.55,16.70,16.45,16.60,+0.25,644
109/06/24,"925,051","15,384,842",16.65,16.70,16.60,16.65,+0.05,306
109/06/29,"1,299,580","21,407,469",16.50,16.55,16.30,16.50,-0.15,325
109/06/30,"1,157,608","19,053,818",16.60,16.60,16.40,16.45,-0.05,348
109/07/01,"677,992","11,160,016",16.45,16.55,16.40,16.50,+0.05,301
109/07/02,"661,319","10,908,212",16.50,16.55,16.45,16.50, 0.00,311
109/07/03,"2,931,078","49,207,659",16.55,16.90,16.55,16.90,+0.40,"1,391"
109/07/06,"5,221,485","90,070,054",17.05,17.65,16.85,17.65,+0.75,"1,576"
109/07/07,"9,642,656","172,524,182",17.70,18.40,17.30,18.40,+0.75,"2,869"
109/07/08,"8,498,562","158,448,396",18.40,18.90,18.05,18.70,+0.30,"3,406"
109/07/09,"5,947,943","109,979,647",18.80,18.85,18.20,18.50,-0.20,"2,618"
109/07/10,"4,874,571","89,809,661",18.50,18.65,18.00,18.65,+0.15,"1,937"
109/07/13,"4,589,403","86,092,679",18.65,19.00,18.50,18.80,+0.15,"1,327"
109/07/14,"3,328,359","61,543,406",18.80,18.80,18.10,18.70,-0.10,"1,268"
109/07/15,"2,234,057","41,358,053",18.70,18.70,18.40,18.60,-0.10,826
109/07/16,"3,475,327","64,935,497",18.70,18.90,18.45,18.55,-0.05,"1,121"
109/07/17,"3,532,247","63,859,496",18.50,18.50,17.75,18.10,-0.45,"1,333"
109/07/20,"1,458,810","26,006,716",18.00,18.00,17.70,17.90,-0.20,558
109/07/21,"1,877,836","33,782,860",18.00,18.20,17.90,18.00,+0.10,637
109/07/22,"963,931","17,253,618",18.05,18.10,17.80,17.85,-0.15,370
109/07/23,"1,514,326","26,810,614",17.85,17.85,17.60,17.70,-0.15,620
109/07/24,"2,549,952","44,496,214",17.60,17.60,17.25,17.50,-0.20,869
109/07/27,"1,330,511","22,953,858",17.45,17.45,17.10,17.15,-0.35,533
109/07/28,"2,218,176","37,634,053",17.15,17.40,16.75,16.95,-0.20,767
109/07/29,"1,364,931","23,241,977",16.80,17.25,16.80,17.00,+0.05,788
109/07/30,"794,049","13,565,833",17.00,17.15,16.95,17.15,+0.15,266
109/07/31,"781,404","13,525,436",17.20,17.40,17.15,17.40,+0.25,326
109/08/03,"2,125,102","36,459,299",17.45,17.55,16.95,17.05,-0.35,805
